keperluan,izin
ingin bertemu orang tua,IB
ingin bertemu orang tua,IB
libur akhir tahun,IB
libur semester,IB
bertemu orang tua,IB
mengerjakan tugas proyek akhir,IB
mengerjakan tugas proyek akhir,IB
upaya it del dalam mencegah covid 19,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orang tua,IB
rindu rumah dan rindu orangtua,IB
bertemu keluarga,IB
rindu orang tua dan rindu rumah,IB
libur paskah dan bertemu keluarga,IB
libur lebaran dan bertemu keluarga,IB
ingin bertemu keluarga,IB
bertemu orang tua,IB
acara keluarga dan mengurus kartu atm,IB
bertemu orangtua,IB
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB
ingin bertemu orang tua,IB
ingin bertemu orang tua,IB
libur akhir tahun,IB
libur semester,IB
bertemu orang tua,IB
mengerjakan tugas proyek akhir,IB
mengerjakan tugas proyek akhir,IB
upaya it del dalam mencegah covid 19,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orang tua,IB
rindu rumah dan rindu orangtua,IB
bertemu keluarga,IB
rindu orang tua dan rindu rumah,IB
libur paskah dan bertemu keluarga,IB
libur lebaran dan bertemu keluarga,IB
ingin bertemu keluarga,IB
bertemu orang tua,IB
acara keluarga dan mengurus kartu atm,IB
bertemu orangtua,IB
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB
ingin bertemu orang tua,IB
ingin bertemu orang tua,IB
libur akhir tahun,IB
libur semester,IB
bertemu orang tua,IB
mengerjakan tugas proyek akhir,IB
mengerjakan tugas proyek akhir,IB
upaya it del dalam mencegah covid 19,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orang tua,IB
rindu rumah dan rindu orangtua,IB
bertemu keluarga,IB
rindu orang tua dan rindu rumah,IB
libur paskah dan bertemu keluarga,IB
libur lebaran dan bertemu keluarga,IB
ingin bertemu keluarga,IB
bertemu orang tua,IB
acara keluarga dan mengurus kartu atm,IB
bertemu orangtua,IB
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB
ingin bertemu orang tua,IB
ingin bertemu orang tua,IB
libur akhir tahun,IB
libur semester,IB
bertemu orang tua,IB
mengerjakan tugas proyek akhir,IB
mengerjakan tugas proyek akhir,IB
upaya it del dalam mencegah covid 19,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orang tua,IB
rindu rumah dan rindu orangtua,IB
bertemu keluarga,IB
rindu orang tua dan rindu rumah,IB
libur paskah dan bertemu keluarga,IB
libur lebaran dan bertemu keluarga,IB
ingin bertemu keluarga,IB
bertemu orang tua,IB
acara keluarga dan mengurus kartu atm,IB
bertemu orangtua,IB
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB
ingin bertemu orang tua,IB
ingin bertemu orang tua,IB
libur akhir tahun,IB
libur semester,IB
bertemu orang tua,IB
mengerjakan tugas proyek akhir,IB
mengerjakan tugas proyek akhir,IB
upaya it del dalam mencegah covid 19,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orang tua,IB
rindu rumah dan rindu orangtua,IB
bertemu keluarga,IB
rindu orang tua dan rindu rumah,IB
libur paskah dan bertemu keluarga,IB
libur lebaran dan bertemu keluarga,IB
ingin bertemu keluarga,IB
bertemu orang tua,IB
acara keluarga dan mengurus kartu atm,IB
bertemu orangtua,IB
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB
ingin bertemu orang tua,IB
ingin bertemu orang tua,IB
libur akhir tahun,IB
libur semester,IB
bertemu orang tua,IB
mengerjakan tugas proyek akhir,IB
mengerjakan tugas proyek akhir,IB
upaya it del dalam mencegah covid 19,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orang tua,IB
rindu rumah dan rindu orangtua,IB
bertemu keluarga,IB
